ts,type,src_path,dest_path,ext_before,ext_after
2026-01-15T15:58:09,created,data\watch_folder\doc_0.txt,,.txt,.txt
2026-01-15T15:58:09,modified,data\watch_folder\doc_0.txt,,.txt,.txt
2026-01-15T15:58:09,created,data\watch_folder\doc_1.txt,,.txt,.txt
2026-01-15T15:58:09,modified,data\watch_folder\doc_1.txt,,.txt,.txt
2026-01-15T15:58:09,created,data\watch_folder\doc_2.txt,,.txt,.txt
2026-01-15T15:58:09,modified,data\watch_folder\doc_2.txt,,.txt,.txt
2026-01-15T15:58:09,created,data\watch_folder\doc_3.txt,,.txt,.txt
2026-01-15T15:58:09,modified,data\watch_folder\doc_3.txt,,.txt,.txt
2026-01-15T15:58:09,created,data\watch_folder\doc_4.txt,,.txt,.txt
2026-01-15T15:58:09,modified,data\watch_folder\doc_4.txt,,.txt,.txt
2026-01-15T15:58:09,created,data\watch_folder\doc_5.txt,,.txt,.txt
2026-01-15T15:58:09,modified,data\watch_folder\doc_5.txt,,.txt,.txt
2026-01-15T15:58:09,created,data\watch_folder\doc_6.txt,,.txt,.txt
2026-01-15T15:58:09,modified,data\watch_folder\doc_6.txt,,.txt,.txt
2026-01-15T15:58:09,created,data\watch_folder\doc_7.txt,,.txt,.txt
2026-01-15T15:58:09,modified,data\watch_folder\doc_7.txt,,.txt,.txt
2026-01-15T15:58:09,created,data\watch_folder\doc_8.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\doc_8.txt,,.txt,.txt
2026-01-15T15:58:10,created,data\watch_folder\doc_9.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\doc_9.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\doc_3.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\doc_2.txt,,.txt,.txt
2026-01-15T15:58:10,moved,data\watch_folder\doc_5.txt,data\watch_folder\doc_5.locked,.txt,.locked
2026-01-15T15:58:10,modified,data\watch_folder\doc_0.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\doc_8.txt,,.txt,.txt
2026-01-15T15:58:10,moved,data\watch_folder\doc_8.txt,data\watch_folder\doc_8.locked,.txt,.locked
2026-01-15T15:58:10,modified,data\watch_folder\doc_1.txt,,.txt,.txt
2026-01-15T15:58:10,created,data\watch_folder\new_1768474690.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\new_1768474690.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\doc_2.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\doc_7.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\doc_7.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\new_1768474690.txt,,.txt,.txt
2026-01-15T15:58:10,modified,data\watch_folder\doc_6.txt,,.txt,.txt
2026-01-15T15:58:11,modified,data\watch_folder\doc_6.txt,,.txt,.txt
2026-01-15T15:58:11,modified,data\watch_folder\new_1768474690.txt,,.txt,.txt
2026-01-15T15:58:11,modified,data\watch_folder\new_1768474690.txt,,.txt,.txt
2026-01-15T15:58:11,modified,data\watch_folder\new_1768474690.txt,,.txt,.txt
2026-01-15T15:58:11,moved,data\watch_folder\doc_1.txt,data\watch_folder\doc_1.locked,.txt,.locked
2026-01-15T15:58:11,modified,data\watch_folder\doc_1.locked,,.locked,.locked
2026-01-15T15:58:11,modified,data\watch_folder\doc_1.locked,,.locked,.locked
2026-01-15T15:58:11,modified,data\watch_folder\doc_1.locked,,.locked,.locked
2026-01-15T15:58:11,modified,data\watch_folder\doc_2.txt,,.txt,.txt
2026-01-15T15:58:11,modified,data\watch_folder\doc_2.txt,,.txt,.txt
2026-01-15T15:58:11,modified,data\watch_folder\new_1768474690.txt,,.txt,.txt
